I ^vm+i0+00++++i+
sido ^vm+ps+0s++++ser+
condiscípulos ^nmp+com+++++condiscípulo+
en ^en++++++en+
San ^jms+++++!!+san+
Isidro ^n+prop++++!!+isidro+
; ^punc+sent+;+++++
pero ^con+coor+++++pero+
Andrés ^n+prop+++++andrés+
hacía ^vm+ii+?s++++hacer+
tiempo ^nms+com+++++tiempo+
que ^que+temp++++!!+que+
no ^r++++++no+
veía ^vm+ii+?s++++ver+
a ^en++++++a+
Julio ^n+prop++++!!+julio+
. ^punc+sent+.+++++
Éste ^p3ms+dem+++++éste+
había ^va+ii+?s++++haber+
estudiado ^vm+ps+0s++++estudiar+
el ^lms+def+++++el+
último ^p3ms+++++!!+último+
año ^nms+com+++++año+
de ^en++++++de+
'l ^lms+def+++++el+
bachillerato ^nms+com++++!!+bachillerato+
, ^punc++,+++++
según ^en++++++según+
dijo ^vm+is+3s++++decir+
, ^punc++,+++++
en ^en++++++en+
provincias ^nfp+com+++++provincia+
. ^punc+sent+.+++++
Qué ^p3cn+int++++!!+qué+
, ^punc++,+++++
tú ^p2cs+per+++++tú+
también ^r++++++también+
vienes ^vm+ip+2s++++venir+
aquí?--le ^v+++++??++
preguntó ^vm+is+3s++++preguntar+
Aracil ^n+prop++++??+aracil+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
Ya ^r+++++!!+ya+
ves ^vm+ip+2s++++ver+
. ^punc+sent+.+++++
Qué ^p3cn+int++++!!+qué+
estudias ^vm+ip+2s++++estudiar+
? ^punc+sent+?+++++
- ^punc++-++++
- ^punc++-++++
Medicina ^nfs+com++++!!+medicina+
. ^punc+sent+.+++++
Hombre ^nms+com++++!!+hombre+
! ^punc+sent+!+++++
Yo ^p1cs+per+++++yo+
también ^r++++++también+
. ^punc+sent+.+++++
Estudiaremos ^vm+if+1p++++estudiar+
juntos ^jmp++++++junto+
. ^punc+sent+.+++++
Aracil ^n+++++??++
se ^p3cn+per++mtz+++él+
encontraba ^vm+ii+?s++++encontrar+
en ^en++++++en+
compañía ^nfs+com+++++compañía+
de ^en++++++de+
un ^lms+ind+++++un+
muchacho ^nms+com+++++muchacho+
de ^en++++++de+
más ^r++++++más+
edad ^nfs+com+++++edad+
que ^que+cpare++++!!+que+
él ^p3ms+per+++++él+
, ^punc++,+++++
a ^en++++++a+
juzgar ^vm+n0+00++++juzgar+
por ^en++++++por+
su ^d3cs+pos+++++su+
aspecto ^nms+com+++++aspecto+
, ^punc++,+++++
de ^en++++++de+
barba ^nms+com+++++barba+
rubia ^jfs+++++!!+rubio+
y ^con+coor+++++y+
ojos ^nmp+com+++++ojo+
claros ^jmp++++++claro+
. ^punc+sent+.+++++
Este ^d3ms+dem++++!!+este+
muchacho ^nms+com+++++muchacho+
y ^con+coor+++++y+
Aracil ^vm+++++??++
, ^punc++,+++++
los ^lmp+def+++++el+
dos ^mcp+card++++!!+dos+
correctos ^jmp++++++correcto+
, ^punc++,+++++
hablaban ^vm+ii+3p++++hablar+
con ^en++++++con+
desdén ^nms+com+++++desdén+
de ^en++++++de+
los ^lmp+def+++++el+
demás ^jcp+++++!!+demás+
estudiantes ^ncp+com++++!!+estudiante+
, ^punc++,+++++
en ^en++++++en+
su ^d3cs+pos+++++su+
mayoría ^nfs+com+++++mayoría+
palurdos ^jmp+++++!!+palurdo+
provincianos ^nmp+com+++++provinciano+
, ^punc++,+++++
que ^que+relat++++!!+que+
manifestaban ^vm+ii+3p++++manifestar+
la ^lfs+def+++++la+
alegría ^nfs+com+++++alegría+
y ^con+coor+++++y+
la ^lfs+def+++++la+
sorpresa ^nfs+com++++!!+sorpresa+
de ^en++++++de+
ver ^vm+n0+00+pstn+++ver+
se ^p3cn+per++++clt++
juntos ^jmp++++++junto+
con ^en++++++con+
gritos ^nmp+com+++++grito+
y ^con+coor+++++y+
carcajadas ^nfp+com+++++carcajada+
. ^punc+sent+.+++++
Abrieron ^vm+is+3p++++abrir+
la ^lfs+def+++++la+
clase ^nfs+com+++++clase+
, ^punc++,+++++
y ^con+coor+++++y+
los ^lmp+def+++++el+
estudiantes ^ncp+com++++!!+estudiante+
, ^punc++,+++++
apresurándo ^n+++++??++
se ^p3cn+per++++clt++
y ^con+coor+++++y+
apretándo ^n+++++??++
se ^p3cn+per++++clt++
como ^con+sub++++!!+como+
si ^con+sub+++++si+
fueran ^vm+si+3p+++!!+ir+
a ^en++++++a+
ver ^vm+n0+00++++ver+
un ^lms+ind+++++un+
espectáculo ^nms+com+++++espectáculo+
entretenido ^jms+++++!!+entretenido+
, ^punc++,+++++
comenzaron ^vm+is+3p++++comenzar+
a ^vm"+is+3p++++a+
pasar ^vm+n0+00++++pasar+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
Habrá ^va+if+3s++++haber+
que ^va"+vcomp++++!!+que+
ver ^vm+n0+00++++ver+
cómo ^con+sub+++++cómo+
entran ^vm+ip+3p++++entrar+
dentro ^en++++++dentro+
de ^en"++++++de+
unos ^lmp+ind+++++un+
días--dijo ^n+++++??++
Aracil ^n+prop++++??+aracil+
burlonamente ^r++++++burlonamente+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
Tendrán ^vm+if+3p++++tener+
la ^lfs+def+++++la+
misma ^d0fs+++++!!+mismo+
prisa ^nfs+com++++!!+prisa+
para ^en++++++para+
salir ^vm+n0+00+pstn+++salir+
que ^que+vcomp++++!!+que+
ahora ^r++++++ahora+
tienen ^vm+ip+3p++++tener+
para ^en++++++para+
entrar--repuso ^vm+++++??++
el ^lms+def+++++el+
otro ^d3ms+ind++++!!+otro+
. ^punc+sent+.+++++
Aracil ^n+++++??++
, ^punc++,+++++
su ^d3cs+pos+++++su+
amigo ^nms+com++++!!+amigo+
y ^con+coor+++++y+
Hurtado ^n+prop++++??+hurtado+
se ^p3cn+per++ref+++él+
sentaron ^vm+is+3p++++sentar+
juntos ^jmp++++++junto+
. ^punc+sent+.+++++
La ^lfs+def+++++la+
clase ^nfs+com+++++clase+
era ^vm+ii+?s++++ser+
la ^lfs+def+++++la+
antigua ^jfs++++++antiguo+
capilla ^nfs+com+++++capilla+
de ^en++++++de+
'l ^lms+def+++++el+
Instituto ^n+prop++++!!+instituto+
de ^en++++++de+
San ^jms+++++!!+san+
Isidro ^n+prop++++!!+isidro+
de ^en++++++de+
cuando ^con+sub++++!!+cuando+
éste ^p3ms+dem+++++éste+
pertenecía ^vm+ii+?s++++pertenecer+
a ^en++++++a+
los ^lmp+def+++++el+
jesuítas ^n+++++??++
. ^punc+sent+.+++++
Tenía ^vm+ii+?s++++tener+
el ^lms+def+++++el+
techo ^nms+com+++++techo+
pintado ^jms+++++!!+pintado+
con ^en++++++con+
grandes ^jcp++++++grande+
figuras ^nfp+com+++++figura+
a ^en++++++a+
estilo ^nms+com+++++estilo+
de ^en++++++de+
Jordaens ^n+prop++++??+jordaens+
; ^punc+sent+;+++++
en ^en++++++en+
los ^lmp+def+++++el+
ángulos ^nmp+com+++++ángulo+
de ^en++++++de+
la ^lfs+def+++++la+
escocia ^n00++++++escocia+
los ^lmp+def+++++el+
cuatro ^mcp+card++++!!+cuatro+
evangelistas ^ncp+com+++++evangelista+
